Date,Time,Direction,Type of vehicle,Occupancy,Colour,Class of the Vehicle 
25-10-2023,09:45,Out,Car,2,Grey,Hatchback
25-10-2023,09:45,Out,Bus,1,Blue,Double
25-10-2023,09:45,Out,Bicycle,1,Black,Paddle
25-10-2023,09:45,Out,Bus,1,Blue,Double
25-10-2023,09:50,Out,Van,1,White,Not_applicable
25-10-2023,09:50,Out,Bus,5%,Blue,Double
25-10-2023,09:50,Out,Car,2,Grey,Hatchback
25-10-2023,09:50,Out,Bus,1,Blue,Double
25-10-2023,09:50,Out,Lorry,1,Orange,Not_applicable
25-10-2023,09:50,Out,Car,1,White,Sedan
25-10-2023,09:50,Out,Bus,1,Blue,Double
25-10-2023,09:50,Out,Car,2,Red,Suv
25-10-2023,09:50,Out,Car,2,White,Hatchback
25-10-2023,09:50,Out,Van,1,White,Not_applicable
25-10-2023,09:55,Out,Taxi,1,White,Sedan
25-10-2023,09:55,Out,Van,1,Blue,Not_applicable
25-10-2023,09:55,Out,Van,1,White,Not_applicable
25-10-2023,09:55,Out,Car,1,Blue,Hatchback
25-10-2023,09:55,Out,Car,1,White,Sedan
25-10-2023,09:55,Out,Car,1,Black,Hatchback
25-10-2023,09:55,Out,Car,2,Black,Sedan
25-10-2023,09:55,Out,Car,1,Blue,Sedan
25-10-2023,09:55,Out,Bus,10%,Green,Double
25-10-2023,09:55,Out,Bus,20%,Maroon,Double
25-10-2023,10:00,Out,Van,1,White,Not_applicable
25-10-2023,10:00,Out,Car,1,Black,Sedan
25-10-2023,10:00,Out,Lorry,1,White,Not_applicable
25-10-2023,10:00,Out,Car,2,Blue,Sedan
25-10-2023,10:00,Out,Bus,1,Blue,Double
25-10-2023,10:00,Out,Car,2,Red,Hatchback
25-10-2023,10:00,Out,Car,2,Black,Hatchback
25-10-2023,10:05,Out,Bus,20%,Red,Single
25-10-2023,10:05,Out,Bus,10%,Green,Double
25-10-2023,10:05,Out,Bus,10%,Green,Double
25-10-2023,10:05,Out,,1,White,Not_applicable
25-10-2023,10:05,Out,Car,3,Black,Sedan
25-10-2023,10:05,Out,Car,2,Red,Hatchback
25-10-2023,10:05,Out,Car,2,WHite,Hatchback
25-10-2023,10:10,Out,Car,1,Blue,Hatchback
25-10-2023,10:10,Out,Car,1,Grey,Suv
25-10-2023,10:10,Out,Car,2,Grey,Hatchback
25-10-2023,10:10,Out,Car,2,Silver,Suv
