Date,Time,Direction,Type,Occupancy,Weather,Area_Code
24-10-2023,10.35am,in,car,2,overcast,wm
24-10-2023,10.35am,in,car,1,overcast,wr
24-10-2023,10.35am,in,car,1,overcast,yk
24-10-2023,10.35am,in,car,1,overcast,wu
24-10-2023,10.35am,in,lorry,1,overcast,x5
24-10-2023,10.35am,in,car,1,overcast,du
24-10-2023,10.35am,in,car,1,overcast,d
24-10-2023,10.35am,in,bus,70%,overcast,yx
24-10-2023,10.35am,in,car,1,overcast,lk
24-10-2023,10.35am,in,car,1,overcast,rj
24-10-2023,10.35am,in,car,1,overcast,gu
24-10-2023,10.35am,in,car,1,overcast,wr
24-10-2023,10.35am,in,car,2,overcast,ku
24-10-2023,10.35am,in,car,1,overcast,kv
24-10-2023,10.35am,in,car,1,overcast,ak
24-10-2023,10.35am,in,car,1,overcast,ll
24-10-2023,10.35am,in,car,1,overcast,lt
24-10-2023,10.35am,in,bus,80%,overcast,yx
24-10-2023,10.35am,in,car,1,overcast,wn
24-10-2023,10.35am,in,car,1,overcast,ey
24-10-2023,10.35am,in,car,1,overcast,ls
24-10-2023,10.40am,in,car,1,overcast,wm
24-10-2023,10.40am,in,car,1,overcast,ta
24-10-2023,10.40am,in,car,2,overcast,av
24-10-2023,10.40am,in,car,2,overcast,vv
24-10-2023,10.40am,in,car,2,overcast,vo
24-10-2023,10.40am,in,car,3,overcast,gn
24-10-2023,10.40am,in,car,3,overcast,ld
24-10-2023,10.40am,in,car,2,overcast,wp
24-10-2023,10.40am,in,car,2,overcast,ap
24-10-2023,10.40am,in,car,3,overcast,rx
24-10-2023,10.40am,in,motorbike,1,overcast,wx
24-10-2023,10.40am,in,car,2,overcast,ov
24-10-2023,10.40am,in,car,2,overcast,nv
24-10-2023,10.40am,in,car,1,overcast,wo
24-10-2023,10.40am,in,car,1,overcast,gj
24-10-2023,10.40am,in,lorry,1,overcast,wr
24-10-2023,10.40am,in,lorry,1,overcast,wm
24-10-2023,10.40am,in,car,1,overcast,wn
24-10-2023,10.40am,in,lorry,1,overcast,wm
24-10-2023,10.40am,in,bus,100%,overcast,yx
24-10-2023,10.50am,in,lorry,1,overcast,wp
24-10-2023,10.50am,in,bus,50%,overcast,yx
24-10-2023,10.50am,in,car,2,overcast,wd
24-10-2023,10.50am,in,car,1,overcast,lo
24-10-2023,10.50am,in,car,1,overcast,hg
24-10-2023,10.50am,in,car,1,overcast,sn
24-10-2023,10.50am,in,car,1,overcast,yt
24-10-2023,10.50am,in,taxi,1,sunny,wo
24-10-2023,10.50am,in,bicycle,1,sunny,
24-10-2023,10.50am,in,car,1,sunny,wn
24-10-2023,10.50am,in,motorbike,1,sunny,wm
24-10-2023,10.50am,in,bus,50%,sunny,yt
24-10-2023,10.50am,in,car,1,sunny,gf
24-10-2023,10.50am,in,taxi,2,sunny,ys
24-10-2023,10.50am,in,car,1,sunny,wx
24-10-2023,10.50am,in,car,2,sunny,wn
24-10-2023,10.50am,in,car,1,sunny,lm
24-10-2023,10.50am,in,taxi,2,sunny,dp
24-10-2023,10.50am,in,car,2,sunny,lg
24-10-2023,10.50am,in,car,1,sunny,wv
24-10-2023,10.50am,in,car,2,sunny,ac
24-10-2023,10.50am,in,car,1,sunny,wm
24-10-2023,10.50am,in,car,2,sunny,yj
24-10-2023,10.50am,in,car,1,sunny,hn
24-10-2023,10.50am,in,car,1,sunny,dy
24-10-2023,10.50am,in,car,1,sunny,ab
24-10-2023,10.50am,in,taxi,1,sunny,hf
24-10-2023,10.50am,in,car,1,sunny,yp
24-10-2023,10.50am,in,car,1,sunny,wx
24-10-2023,10.50am,in,car,1,sunny,dc
24-10-2023,10.50am,in,car,2,sunny,gc
24-10-2023,10.50am,in,car,1,sunny,yo
24-10-2023,10.50am,in,car,1,sunny,gm
24-10-2023,10.50am,in,car,1,sunny,gd
