Date,Time,Direction,Type,Occupancy,AgeIdentifier,Brand
25-10-2023,8.30am,in,car,1,10,peugeot
25-10-2023,8.30am,in,car,2,58,ford
25-10-2023,8.30am,in,car,1,1,japanesebrand
25-10-2023,8.30am,in,car,1,22,japanesebrand
25-10-2023,8.30am,in,car,1,62,japanesebrand
25-10-2023,8.30am,in,car,1,3,mercedes
25-10-2023,8.30am,in,car,1,62,other
25-10-2023,8.30am,in,bus,50%,66,other
25-10-2023,8.30am,in,car,1,71,skoda
25-10-2023,8.30am,in,car,1,60,other
25-10-2023,8.30am,in,car,1,12,other
25-10-2023,8.30am,in,bus,80%,66,other
25-10-2023,8.30am,in,car,1,67,ford
25-10-2023,8.30am,in,van,1,64,other
25-10-2023,8.30am,in,car,1,63,mini
25-10-2023,8.30am,in,car,1,65,peugeot
25-10-2023,8.30am,in,car,2,65,ford
25-10-2023,8.35am,in,car,1,62,mini
25-10-2023,8.35am,in,car,10%,64,mercedes
25-10-2023,8.35am,in,car,1,7,other
25-10-2023,8.35am,in,car,2,64,vauxhall
25-10-2023,8.35am,in,car,1,20,ford
25-10-2023,8.35am,in,car,1,20,ford
25-10-2023,8.35am,in,car,1,19,other
25-10-2023,8.35am,in,car,1,21,japanesebrand
25-10-2023,8.35am,in,bus,100%,67,other
25-10-2023,8.35am,in,car,1,71,audi
25-10-2023,8.35am,in,car,1,15,mini
25-10-2023,8.35am,in,bus,90%,66,other
25-10-2023,8.35am,in,car,1,13,peugeot
25-10-2023,8.35am,in,car,1,17,mini
25-10-2023,8.35am,in,car,1,66,ford
25-10-2023,8.35am,in,bicycle,1,null,other
25-10-2023,8.35am,in,car,1,9,japanesebrand
25-10-2023,8.35am,in,car,1,16,skoda
25-10-2023,8.35am,in,car,1,63,japanesebrand
25-10-2023,8.35am,in,car,1,12,japanesebrand
25-10-2023,8.35am,in,car,1,14,japanesebrand
25-10-2023,8.35am,in,car,1,15,bmw
25-10-2023,8.35am,in,car,1,63,citroen
25-10-2023,8.35am,in,car,1,63,skoda
25-10-2023,8.35am,in,car,1,20,skoda
25-10-2023,8.40am,in,other,1,null,other
25-10-2023,8.40am,in,bus,90%,66,other
