Date,Time,Direction,Type,Occupancy,Eco-friendly,AdditionalData2
23-10-2023,10.00am,in,bus,80%,no,null
23-10-2023,10.00am,in,car,2,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,2,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,bicycle,1,yes,null
23-10-2023,10.00am,in,bicycle,1,yes,null
23-10-2023,10.00am,in,bicycle,1,yes,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,3,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,bus,20%,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.00am,in,car,2,no,null
23-10-2023,10.00am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,bus,70%,no,null
23-10-2023,10.05am,in,bus,50%,no,null
23-10-2023,10.05am,in,car,3,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,1,yes,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,yes,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,yes,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.05am,in,car,1,no,null
23-10-2023,10.05am,in,car,2,yes,null
23-10-2023,10.05am,in,car,1,yes,null
23-10-2023,10.05am,in,car,2,yes,null
23-10-2023,10.05am,in,bus,100%,no,null
23-10-2023,10.05am,in,car,2,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,3,no,null
23-10-2023,10.10am,in,van,1,no,null
23-10-2023,10.10am,in,van,1,no,null
23-10-2023,10.10am,in,car,1,yes,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,taxi,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,bicycle,1,yes,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,1,yes,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,1,yes,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,2,yes,null
23-10-2023,10.10am,in,lorry,1,no,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,2,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.10am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,van,1,no,null
23-10-2023,10.15am,in,bus,5%,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,2,no,null
23-10-2023,10.15am,in,bicycle,1,yes,null
23-10-2023,10.15am,in,bus,30%,no,null
23-10-2023,10.15am,in,car,2,no,null
23-10-2023,10.15am,in,car,2,yes,null
23-10-2023,10.15am,in,van,1,no,null
23-10-2023,10.15am,in,car,2,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,bus,40%,no,null
23-10-2023,10.15am,in,van,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,2,no,null
23-10-2023,10.15am,in,bus,20%,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,no,null
23-10-2023,10.15am,in,car,1,yes,null
23-10-2023,10.15am,in,car,2,no,null
23-10-2023,10.15am,in,van,1,no,null
23-10-2023,10.20am,in,bus,10%,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,motorbike,1,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,lorry,1,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,car,1,no,null
23-10-2023,10.20am,in,bicycle,1,yes,null
23-10-2023,10.20am,in,car,2,no,null
23-10-2023,10.20am,in,van,1,no,null
23-10-2023,10.20am,in,van,1,no,null
23-10-2023,10.20am,in,car,2,yes,null
23-10-2023,10.25am,in,bus,10%,no,null
23-10-2023,10.25am,in,car,2,no,null
23-10-2023,10.25am,in,car,2,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,2,no,null
23-10-2023,10.25am,in,car,3,yes,null
23-10-2023,10.25am,in,car,3,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,bus,15%,no,null
23-10-2023,10.25am,in,car,2,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,1,no,null
23-10-2023,10.25am,in,car,2,no,null
23-10-2023,10.25am,in,van,1,no,null
23-10-2023,10.25am,in,van,1,no,null
23-10-2023,10.30am,in,bus,20%,no,null
23-10-2023,10.30am,in,car,2,no,null
