Date,Time,Direction,Type,Occupancy,Driver Gender,Vehicle purpose
24-10-2023,10.30am,in,taxi,3,female,commute
24-10-2023,10.30am,in,taxi,2,female,commute
24-10-2023,10.30am,in,taxi,3,female,commute
24-10-2023,10.30am,in,taxi,2,female,commute
24-10-2023,10.30am,in,taxi,3,female,commute
24-10-2023,10.30am,in,taxi,2,male,commute
24-10-2023,10.30am,in,taxi,1,male,commute
24-10-2023,10.30am,in,taxi,2,female,commute
24-10-2023,10.30am,in,taxi,3,male,commute
24-10-2023,10.30am,in,taxi,4,male,commute
24-10-2023,10.30am,in,taxi,1,male,commute
24-10-2023,10.30am,in,car,3,female,commute
24-10-2023,10.30am,in,car,3,male,commute
24-10-2023,10.30am,in,car,3,female,commute
24-10-2023,10.30am,in,car,2,male,commute
24-10-2023,10.30am,in,car,2,male,commute
24-10-2023,10.30am,in,car,2,male,commercial
24-10-2023,10.30am,in,car,3,male,commute
24-10-2023,10.30am,in,car,2,male,commercial
24-10-2023,10.30am,in,car,3,female,commute
24-10-2023,10.30am,in,car,2,female,commute
24-10-2023,10.30am,in,bus,25%,male,commute
24-10-2023,10.30am,in,bus,100%,male,commute
24-10-2023,10.35am,in,car,2,male,commercial
24-10-2023,10.35am,in,car,2,male,commercial
24-10-2023,10.35am,in,car,2,female,commute
24-10-2023,10.35am,in,car,1,female,commute
24-10-2023,10.35am,in,taxi,2,male,commute
24-10-2023,10.35am,in,taxi,3,male,commute
24-10-2023,10.35am,in,taxi,4,male,commute
24-10-2023,10.35am,in,taxi,3,male,commute
24-10-2023,10.35am,in,taxi,1,male,commute
24-10-2023,10.35am,in,taxi,2,male,commute
24-10-2023,10.35am,in,taxi,2,female,commute
24-10-2023,10.35am,in,taxi,1,male,commute
24-10-2023,10.35am,in,bus,100,male,commute
24-10-2023,10.40am,in,car,2,female,commute
24-10-2023,10.40am,in,car,1,male,commute
24-10-2023,10.40am,in,car,3,male,commute
24-10-2023,10.40am,in,car,2,male,commute
24-10-2023,10.40am,in,car,2,male,commute
24-10-2023,10.40am,in,car,1,male,commute
24-10-2023,10.40am,in,car,2,male,commercial
24-10-2023,10.40am,in,car,1,male,commute
24-10-2023,10.40am,in,car,2,male,commute
24-10-2023,10.40am,in,scooter,1,male,commute
24-10-2023,10.40am,in,bus,100%,male,commute
24-10-2023,10.40am,in,bus,100%,male,commute
24-10-2023,10.45am,in,car,2,male,commute
24-10-2023,10.45am,in,car,4,male,commute
24-10-2023,10.45am,in,car,1,male,commute
24-10-2023,10.45am,in,car,1,male,commute
24-10-2023,10.45am,in,car,1,male,commute
24-10-2023,10.45am,in,car,1,female,commute
24-10-2023,10.45am,in,car,2,male,commute
24-10-2023,10.45am,in,car,1,female,commute
24-10-2023,10.45am,in,car,1,male,commute
24-10-2023,10.45am,in,car,2,male,commute
24-10-2023,10.45am,in,taxi,1,male,commute
24-10-2023,10.45am,in,taxi,3,male,commute
24-10-2023,10.45am,in,bicycle,1,female,commute
24-10-2023,10.45am,in,scooter,1,male,commute
24-10-2023,10.45am,in,bus,100%,male,commute
24-10-2023,10.50am,in,car,1,female,commute
24-10-2023,10.50am,in,car,1,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,1,male,commute
24-10-2023,10.50am,in,car,1,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,1,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,1,male,commute
24-10-2023,10.50am,in,car,2,male,commute
24-10-2023,10.50am,in,car,1,female,commute
24-10-2023,10.50am,in,car,2,female,commute
24-10-2023,10.50am,in,car,2,male,commute
24-10-2023,10.50am,in,taxi,1,male,commute
24-10-2023,10.50am,in,van,2,male,commercial
24-10-2023,10.50am,in,taxi,2,female,commute
24-10-2023,10.55am,in,car,2,female,commute
24-10-2023,10.55am,in,car,1,female,commute
24-10-2023,10.55am,in,car,1,female,commute
24-10-2023,10.55am,in,car,1,male,commute
24-10-2023,10.55am,in,car,1,male,commute
24-10-2023,10.55am,in,car,1,male,commute
24-10-2023,10.55am,in,car,1,male,commute
24-10-2023,10.55am,in,car,2,male,commute
24-10-2023,10.55am,in,car,2,male,commute
24-10-2023,10.55am,in,car,1,male,commute
24-10-2023,10.55am,in,car,2,male,commute
24-10-2023,10.55am,in,car,4,male,commute
24-10-2023,10.55am,in,car,2,female,commute
24-10-2023,10.55am,in,car,2,female,commute
24-10-2023,10.55am,in,car,3,female,commute
24-10-2023,10.55am,in,taxi,1,male,commute
24-10-2023,10.55am,in,van,1,male,commercial
24-10-2023,10.55am,in,bicycle,1,male,commute
24-10-2023,10.55am,in,scooter,1,female,commute
24-10-2023,10.55am,in,bicycle,1,female,commute
24-10-2023,10.55am,in,bus,100%,male,commute
24-10-2023,10.55am,in,lorry,1,male,commercial
