Date,Time,Direction,Type,Occupancy,Green Vehicle,Date Code
26-10-2023,10.30am,Out,car,4,no,16
26-10-2023,10.30am,Out,car,1,no,58
26-10-2023,10.30am,Out,car,1,yes,73
26-10-2023,10.30am,Out,car,1,no,08
26-10-2023,10.30am,Out,car,1,no,62
26-10-2023,10.30am,Out,car,2,yes,71
26-10-2023,10.30am,Out,van,1,no,20
26-10-2023,10.30am,Out,car,1,yes,73
26-10-2023,10.30am,Out,bus,8,no,66
26-10-2023,10.30am,Out,bus,5,no,66
26-10-2023,10.30am,Out,car,1,no,63
26-10-2023,10.35am,Out,lorry,1,no,16
26-10-2023,10.35am,Out,car,1,no,16
26-10-2023,10.35am,Out,bus,1,no,66
26-10-2023,10.35am,Out,car,2,no,61
26-10-2023,10.35am,Out,van,1,no,72
26-10-2023,10.35am,Out,taxi,1,no,16
26-10-2023,10.35am,Out,car,1,no,64
26-10-2023,10.35am,Out,van,1,no,72
26-10-2023,10.35am,Out,car,1,no,69
26-10-2023,10.35am,Out,car,2,no,18
26-10-2023,10.35am,Out,car,1,no,64
26-10-2023,10.35am,Out,car,2,no,20
26-10-2023,10.35am,Out,bus,3,no,56
26-10-2023,10.40am,Out,car,1,no,20
26-10-2023,10.40am,Out,bus,15,no,66
26-10-2023,10.40am,Out,car,1,no,18
26-10-2023,10.40am,Out,van,1,no,70
26-10-2023,10.40am,Out,car,2,no,60
26-10-2023,10.40am,Out,car,1,no,23
26-10-2023,10.40am,Out,car,1,no,65
26-10-2023,10.40am,Out,van,1,no,70
26-10-2023,10.40am,Out,van,1,no,70
26-10-2023,10.40am,Out,car,4,no,14
26-10-2023,10.40am,Out,car,1,no,54
26-10-2023,10.40am,Out,car,1,yes,71
26-10-2023,10.45am,Out,bus,3,no,11
26-10-2023,10.45am,Out,car,2,no,66
26-10-2023,10.45am,Out,car,4,no,09
26-10-2023,10.45am,Out,car,2,no,63
26-10-2023,10.45am,Out,car,1,no,54
26-10-2023,10.45am,Out,car,2,no,59
26-10-2023,10.45am,Out,car,4,no,68
26-10-2023,10.45am,Out,car,1,no,54
26-10-2023,10.45am,Out,bus,5,no,56
26-10-2023,10.45am,Out,car,1,no,06
26-10-2023,10.50am,Out,motorbike,1,no,19
26-10-2023,10.50am,Out,car,1,no,63
26-10-2023,10.55am,Out,car,2,no,67
26-10-2023,10.55am,Out,bus,20,no,66
26-10-2023,10.55am,Out,bus,1,no,66
26-10-2023,10.55am,Out,lorry,1,no,73
26-10-2023,10.55am,Out,taxi,5,no,66
26-10-2023,10.55am,Out,car,1,no,67
26-10-2023,10.55am,Out,car,1,no,67
26-10-2023,10.55am,Out,car,1,no,21
26-10-2023,10.55am,Out,bus,2,no,66
26-10-2023,10.55am,Out,car,2,no,54
26-10-2023,10.55am,Out,motorbike,1,no,19
