Date,Time,Direction,Type,Occupancy,Electric,Family Car
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,2,no,no
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,2,no,yes
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,2,no,yes
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,bicycle,1,null,null
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,bus,10%,no,null
25-10-2023,9.30am,in,van,2,no,null
25-10-2023,9.30am,in,bus,20%,no,null
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,taxi,2,no,null
25-10-2023,9.30am,in,car,2,no,yes
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,2,no,yes
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,motorbike,1,no,null
25-10-2023,9.30am,in,car,1,no,no
25-10-2023,9.30am,in,car,1,no,yes
25-10-2023,9.30am,in,bus,10%,no,null
25-10-2023,9.30am,in,lorry,2,no,null
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,bus,0%,no,null
25-10-2023,9.35am,in,car,2,no,yes
25-10-2023,9.35am,in,car,2,no,no
25-10-2023,9.35am,in,car,1,no,no
25-10-2023,9.35am,in,bicycle,1,null,null
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,2,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,bicycle,1,null,null
25-10-2023,9.35am,in,van,1,no,null
25-10-2023,9.35am,in,bus,80%,no,null
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,2,no,no
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,no
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,2,no,yes
25-10-2023,9.35am,in,car,1,no,yes
25-10-2023,9.35am,in,car,2,no,no
25-10-2023,9.35am,in,car,1,yes,no
25-10-2023,9.35am,in,car,2,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,van,1,no,null
25-10-2023,9.40am,in,car,2,yes,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,van,1,no,null
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,bus,90%,no,null
25-10-2023,9.40am,in,car,3,no,yes
25-10-2023,9.40am,in,lorry,1,no,null
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,van,1,no,null
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,van,2,no,null
25-10-2023,9.40am,in,car,2,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,yes
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.40am,in,car,1,no,no
25-10-2023,9.45am,in,car,2,no,no
25-10-2023,9.45am,in,van,1,no,null
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,2,no,no
25-10-2023,9.45am,in,car,1,no,no
25-10-2023,9.45am,in,taxi,1,no,null
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,1,no,no
25-10-2023,9.45am,in,car,2,no,yes
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,1,no,no
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,bus,10%,no,null
25-10-2023,9.45am,in,taxi,2,no,null
25-10-2023,9.45am,in,car,1,no,no
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,2,no,yes
25-10-2023,9.45am,in,car,2,no,yes
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,2,no,no
25-10-2023,9.45am,in,car,2,no,yes
25-10-2023,9.45am,in,car,1,no,yes
25-10-2023,9.45am,in,car,2,no,yes
25-10-2023,9.50am,in,bus,90%,no,null
25-10-2023,9.50am,in,car,3,no,yes
25-10-2023,9.50am,in,car,1,no,no
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.50am,in,bus,90%,no,null
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.50am,in,bicycle,1,null,null
25-10-2023,9.50am,in,car,4,yes,yes
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,motorbike,1,no,null
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,2,no,no
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,2,no,no
25-10-2023,9.50am,in,car,3,no,yes
25-10-2023,9.50am,in,car,1,no,no
25-10-2023,9.50am,in,car,4,no,yes
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.50am,in,car,2,no,no
25-10-2023,9.50am,in,taxi,1,no,null
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,1,no,no
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.50am,in,car,2,no,no
25-10-2023,9.50am,in,car,2,no,yes
25-10-2023,9.50am,in,car,1,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,2,no,no
25-10-2023,9.55am,in,car,2,no,no
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,bus,75%,no,null
25-10-2023,9.55am,in,car,1,yes,yes
25-10-2023,9.55am,in,van,1,no,null
25-10-2023,9.55am,in,car,1,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,taxi,1,no,null
25-10-2023,9.55am,in,car,3,no,yes
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,4,no,yes
25-10-2023,9.55am,in,car,3,no,yes
25-10-2023,9.55am,in,car,2,no,no
25-10-2023,9.55am,in,car,2,no,no
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,bus,100%,no,null
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,3,no,yes
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,2,no,yes
25-10-2023,9.55am,in,car,1,yes,no
25-10-2023,9.55am,in,car,1,no,no
25-10-2023,9.55am,in,car,1,no,yes
