Date, Time, Direction, Type, Occupancy, HasGreenNumberPlate, AdditionalData2
24-10-2023, 8.45am, in, car, 2, no, null
24-10-2023, 8.45am, in, van, 1, no, null
24-10-2023, 8.45am, in, car, 1, yes, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, van, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, bus, 60%, no, null
24-10-2023, 8.45am, in, car, 2, no, null
24-10-2023, 8.45am, in, bus, 70%, no, null
24-10-2023, 8.45am, in, bus, 100%, no, null
24-10-2023, 8.45am, in, car, 3, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, van, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 2, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, van, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.45am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 5, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 3, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 4, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, lorry, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 5, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, taxi, 2, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 1, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 2, no, null
24-10-2023, 8.50am, in, car, 2, no, null
