Date,Time,Direction,Type,Occupancy,Tint > 50% ,Tint Area
24-10-23,9:30am,IN,Car,1,No,N/A
24-10-24,9:30am,IN,Bus,75%,N/A,N/A
24-10-25,9:30am,IN,Car,2,Yes,Rear All
24-10-26,9:30am,IN,Car,2,No,N/A
24-10-27,9:30am,IN,Car,4,Yes,Rear All
24-10-28,9:31am,IN,Car,2,Yes,Rear Windscreen
24-10-29,9:31am,IN,Bus,100%,No,N/A
24-10-30,9:31am,IN,Car,4,Yes,Rear Windscreen
24-10-31,9:34am,IN,Bus,100%,N/A,N/A
24-10-32,9:34am,IN,Car,2,No,N/A
24-10-33,9:34am,IN,Car,2,Yes,Rear All
24-10-34,9:34am,IN,Bus,2,Yes,Rear All
24-10-35,9:34am,IN,Bus,100%,N/A,N/A
24-10-36,9:34am,IN,Car,1,No,N/A
24-10-37,9:35am,IN,Car,2,Yes,Rear Windscreen
24-10-38,9:35am,IN,Car,2,Yes,Rear All
24-10-39,9:35am,IN,Car,1,Yes,Rear Windscreen
24-10-40,9:36am,IN,Bus,50%,N/A,N/A
24-10-41,9:36am,IN,Car,2,No,N/A
24-10-42,9:36am,IN,Car,1,Yes,Rear All
24-10-43,9:36am,IN,Car,1,Yes,Rear All
24-10-44,9:36am,IN,Car,2,No,N/A
24-10-45,9:36am,IN,Car,2,Yes,Rear All
24-10-46,9:36am,IN,Car,2,No,N/A
24-10-47,9:36am,IN,Car,2,No,N/A
24-10-48,9:36am,IN,Car,2,No,N/A
24-10-49,9:36am,IN,Car,1,No,N/A
24-10-50,9:36am,IN,Car,2,No,N/A
24-10-51,9:36am,IN,Car,2,No,N/A
24-10-52,9:37am,IN,Car,1,Yes,Rear All
24-10-53,9:37am,IN,Car,1,Yes,Rear All
24-10-54,9:37am,IN,Car,2,Yes,Rear All & Front Quarter & Front Door
24-10-55,9:37am,IN,Car,2,Yes,Rear All
24-10-56,9:37am,IN,Car,2,Yes,Rear All & Front Door
24-10-57,9:37am,IN,Car,2,No,N/A
24-10-58,9:37am,IN,Car,1,Yes,Rear All
24-10-59,9:37am,IN,Car,1,No,N/A
24-10-60,9:37am,IN,Car,1,Yes,Rear All
24-10-61,9:38am,IN,Car,2,Yes,Rear All
24-10-62,9:38am,IN,Car,2,No,N/A
24-10-63,9:38am,IN,Car,2,No,N/A
24-10-64,9:38am,IN,Car,1,No,N/A
24-10-65,9:39am,IN,Car,1,No,N/A
24-10-66,9:39am,IN,Taxi,1,Yes,Rear All
24-10-67,9:39am,IN,Taxi,2,No,N/A
24-10-68,9:39am,IN,Car,2,No,N/A
24-10-69,9:39am,IN,Car,2,Yes,Rear All
24-10-70,9:39am,IN,Car,2,Yes,Rear All
24-10-71,9:39am,IN,Bike,1,N/A,N/A
24-10-72,9:40am,IN,Car,1,No,N/A
24-10-73,9:40am,IN,Car,1,No,N/A
24-10-74,9:40am,IN,Car,1,No,N/A
24-10-75,9:40am,IN,Car,2,Yes,Rear All
24-10-76,9:41am,IN,Car,2,No,N/A
24-10-77,9:41am,IN,Taxi,2,Yes,Rear All
24-10-78,9:41am,IN,Bike,1,N/A,N/A
24-10-79,9:41am,IN,Bike,1,N/A,N/A
24-10-80,9:41am,IN,Car,4,No,N/A
24-10-81,9:41am,IN,Car,2,No,N/A
24-10-82,9:41am,IN,Car,2,No,N/A
24-10-83,9:41am,IN,Bus,100%,N/A,N/A
24-10-84,9:41am,IN,Taxi,2,No,N/A
24-10-85,9:42am,IN,Car,1,No,N/A
24-10-86,9:42am,IN,Car,2,No,N/A
24-10-87,9:42am,IN,Car,2,No,N/A
24-10-88,9:42am,IN,Car,1,No,N/A
24-10-89,9:42am,IN,Car,2,No,N/A
24-10-90,9:42am,IN,Car,1,Yes,Rear All & Front Quarter & Front Door
24-10-91,9:42am,IN,Car,2,No,N/A
24-10-92,9:43am,IN,Car,2,No,N/A
24-10-93,9:43am,IN,Bike,1,N/A,N/A
24-10-94,9:43am,IN,Car,3,Yes,Rear All
24-10-95,9:43am,IN,Car,1,No,N/A
24-10-96,9:44am,IN,Car,2,No,N/A
24-10-97,9:44am,IN,Bike,1,N/A,N/A
24-10-98,9:44am,IN,Bike,1,N/A,N/A
24-10-99,9:45am,IN,Car,4,No,N/A
24-10-100,9:45am,IN,Taxi,2,No,N/A
24-10-101,9:45am,IN,Car,2,Yes,Rear Quarter & Rear Windscreen
24-10-102,9:45am,IN,Car,2,Yes,Rear All & Front Door 
24-10-103,9:45am,IN,Car,2,Yes,Rear Quarter & Rear Windscreen
24-10-104,9:45am,IN,Car,2,Yes,Rear All 
24-10-105,9:45am,IN,Car,1,Yes,Rear Windscreen
24-10-106,9:45am,IN,Car,1,Yes,Rear All
24-10-107,9:45am,IN,Car,4,No,N/A
24-10-108,9:45am,IN,Car,2,Yes,Rear All
24-10-109,9:45am,IN,Car,2,Yes,Rear All
24-10-110,9:46am,IN,Car,4,No,N/A
24-10-111,9:46am,IN,Bus,100%,N/A,N/A
24-10-112,9:46am,IN,Car,1,No,N/A
24-10-113,9:46am,IN,Car,1,No,N/A
24-10-114,9:46am,IN,Car,1,No,N/A
24-10-115,9:46am,IN,Bike,2,N/A,N/A
24-10-116,9:46am,IN,Car,2,No,N/A
24-10-117,9:46am,IN,Car,2,Yes,Rear All
24-10-118,9:47am,IN,Car,1,Yes,Rear All
24-10-119,9:47am,IN,Car,2,No,N/A
24-10-120,9:47am,IN,Car,2,No,N/A
24-10-121,9:47am,IN,Car,1,No,N/A
24-10-122,9:47am,IN,Car,1,No,N/A
24-10-123,9:47am,IN,Car,1,No,N/A
24-10-124,9:47am,IN,Car,1,No,N/A
24-10-125,9:47am,IN,Car,1,No,N/A
24-10-126,9:47am,IN,Bike,1,N/A,N/A
24-10-127,9:47am,IN,Car,2,Yes,Rear Windscreen
24-10-128,9:47am,IN,Bike,1,N/A,N/A
24-10-129,9:48am,IN,Car,3,No,N/A
24-10-130,9:48am,IN,Bus,100%,N/A,N/A
24-10-131,9:48am,IN,A.V,1,No,N/A
24-10-132,9:48am,IN,Car,1,No,N/A
24-10-133,9:48am,IN,Car,2,No,N/A
24-10-134,9:48am,IN,Bus,100%,N/A,N/A
24-10-135,9:50am,IN,Car,2,No,N/A
24-10-136,9:50am,IN,Van,2,Yes,Front Door Quarter & Front Glass
24-10-137,9:52am,IN,Car,2,Yes,Rear All & Front Glass & Front Quarter
24-10-138,9:52am,IN,Car,2,No,N/A
