Date,Time,Direction,Type,Occupancy,Age_ID,Is_env_fr
25-10-2023,10:25:00,IN,bus,5%,22,0
25-10-2023,10:25:00,IN,car,1,57,0
25-10-2023,10:26:00,IN,car,2,19,0
25-10-2023,10:26:00,IN,car,1,60,0
25-10-2023,10:27:00,IN,car,2,62,0
25-10-2023,10:27:00,IN,car,1,22,0
25-10-2023,10:27:00,IN,car,1,71,0
25-10-2023,10:28:00,IN,car,1,65,0
25-10-2023,10:28:00,IN,car,2,67,0
25-10-2023,10:28:00,IN,car,2,19,0
25-10-2023,10:28:00,IN,car,2,62,0
25-10-2023,10:29:00,IN,car,1,12,0
25-10-2023,10:29:00,IN,car,2,14,0
25-10-2023,10:29:00,IN,car,3,66,0
25-10-2023,10:30:00,IN,van,2,13,0
25-10-2023,10:30:00,IN,van,2,19,0
25-10-2023,10:30:00,IN,car,1,19,0
25-10-2023,10:31:00,IN,bus,50%,66,0
25-10-2023,10:31:00,IN,car,3,11,0
25-10-2023,10:31:00,IN,car,1,21,0
25-10-2023,10:31:00,IN,car,1,68,0
25-10-2023,10:31:00,IN,car,1,18,0
25-10-2023,10:31:00,IN,car,1,54,0
25-10-2023,10:32:00,IN,car,1,73,0
25-10-2023,10:32:00,IN,car,1,72,1
25-10-2023,10:32:00,IN,car,2,70,0
25-10-2023,10:33:00,IN,car,2,10,0
25-10-2023,10:33:00,IN,car,1,72,0
25-10-2023,10:33:00,IN,car,1,31,0
25-10-2023,10:34:00,IN,car,1,15,0
25-10-2023,10:34:00,IN,car,1,60,0
25-10-2023,10:34:00,IN,van,1,65,0
25-10-2023,10:34:00,IN,car,3,67,0
25-10-2023,10:35:00,IN,bike,1,21,0
25-10-2023,10:35:00,IN,car,2,23,0
25-10-2023,10:35:00,IN,car,2,65,0
25-10-2023,10:35:00,IN,car,2,13,0
25-10-2023,10:35:00,IN,bus,10%,59,0
25-10-2023,10:35:00,IN,car,1,71,1
25-10-2023,10:35:00,IN,car,3,20,0
25-10-2023,10:36:00,IN,car,2,12,0
25-10-2023,10:36:00,IN,van,1,68,0
25-10-2023,10:36:00,IN,car,2,18,0
25-10-2023,10:36:00,IN,car,3,68,0
25-10-2023,10:37:00,IN,car,1,12,0
25-10-2023,10:37:00,IN,bus,100%,66,0
25-10-2023,10:37:00,IN,car,3,22,0
25-10-2023,10:37:00,IN,car,1,19,0
25-10-2023,10:37:00,IN,car,2,71,0
25-10-2023,10:37:00,IN,car,1,15,0
25-10-2023,10:38:00,IN,bus,50%,11,0
25-10-2023,10:38:00,IN,car,3,18,0
25-10-2023,10:38:00,IN,car,2,12,0
25-10-2023,10:38:00,IN,car,1,64,0
25-10-2023,10:39:00,IN,car,2,66,0
25-10-2023,10:39:00,IN,car,1,65,1
25-10-2023,10:39:00,IN,car,1,66,0
25-10-2023,10:39:00,IN,car,1,70,0
25-10-2023,10:39:00,IN,car,1,15,0
25-10-2023,10:39:00,IN,car,1,70,0
25-10-2023,10:39:00,IN,car,1,61,0
25-10-2023,10:39:00,IN,bus,90%,66,0
25-10-2023,10:40:00,IN,van,2,66,0
25-10-2023,10:40:00,IN,car,1,67,0
25-10-2023,10:40:00,IN,car,1,63,0
25-10-2023,10:40:00,IN,car,1,65,0
25-10-2023,10:40:00,IN,car,1,8,0
25-10-2023,10:40:00,IN,car,1,17,0
25-10-2023,10:43:00,IN,car,1,14,0
25-10-2023,10:43:00,IN,car,1,10,0
25-10-2023,10:43:00,IN,van,1,71,1
25-10-2023,10:44:00,IN,car,2,12,0
25-10-2023,10:44:00,IN,car,1,2,0
25-10-2023,10:44:00,IN,car,1,65,0
25-10-2023,10:44:00,IN,car,1,13,0
25-10-2023,10:44:00,IN,car,1,73,0
25-10-2023,10:44:00,IN,car,2,15,0
25-10-2023,10:44:00,IN,car,1,5,0
25-10-2023,10:44:00,IN,car,2,13,0
25-10-2023,10:44:00,IN,car,1,68,0
25-10-2023,10:44:00,IN,car,2,14,0
25-10-2023,10:45:00,IN,car,1,65,0
25-10-2023,10:45:00,IN,car,1,19,0
25-10-2023,10:45:00,IN,car,2,68,0
25-10-2023,10:45:00,IN,car,2,58,0
25-10-2023,10:45:00,IN,car,1,8,0
25-10-2023,10:45:00,IN,car,1,59,0
25-10-2023,10:45:00,IN,car,1,68,0
25-10-2023,10:45:00,IN,car,1,6,0
25-10-2023,10:45:00,IN,car,2,8,0
25-10-2023,10:46:00,IN,car,1,56,0
25-10-2023,10:46:00,IN,bus,100%,60,0
25-10-2023,10:46:00,IN,car,1,69,0
25-10-2023,10:46:00,IN,car,4,16,0
25-10-2023,10:46:00,IN,car,2,17,0
25-10-2023,10:46:00,IN,car,2,66,0
25-10-2023,10:48:00,IN,car,1,7,0
25-10-2023,10:48:00,IN,car,3,67,0
25-10-2023,10:48:00,IN,bus,90%,60,0
25-10-2023,10:48:00,IN,car,1,59,0
25-10-2023,10:48:00,IN,van,1,22,0
25-10-2023,10:48:00,IN,car,1,60,1
25-10-2023,10:48:00,IN,car,1,11,0
25-10-2023,10:49:00,IN,car,2,7,0
25-10-2023,10:49:00,IN,van,1,69,0
25-10-2023,10:49:00,IN,car,2,16,0
25-10-2023,10:49:00,IN,car,2,17,0
25-10-2023,10:49:00,IN,car,1,13,0
25-10-2023,10:50:00,IN,car,1,18,0
25-10-2023,10:50:00,IN,car,4,59,0
25-10-2023,10:50:00,IN,car,1,65,0
25-10-2023,10:50:00,IN,car,1,21,0
25-10-2023,10:50:00,IN,car,2,9,0
25-10-2023,10:50:00,IN,car,3,17,0
25-10-2023,10:50:00,IN,car,1,64,0
25-10-2023,10:51:00,IN,car,3,56,0
25-10-2023,10:51:00,IN,car,1,65,1
25-10-2023,10:54:00,IN,car,2,60,0
25-10-2023,10:54:00,IN,bus,100%,66,0
25-10-2023,10:54:00,IN,car,4,60,0
25-10-2023,10:55:00,IN,van,2,67,0
25-10-2023,10:55:00,IN,car,1,12,0
25-10-2023,10:56:00,IN,car,1,73,0
25-10-2023,10:56:00,IN,car,2,19,0
25-10-2023,10:56:00,IN,bus,90%,67,0
25-10-2023,10:56:00,IN,car,3,8,0
25-10-2023,10:56:00,IN,car,1,59,0
25-10-2023,10:56:00,IN,car,1,11,0
25-10-2023,10:56:00,IN,car,1,63,0
25-10-2023,10:56:00,IN,van,1,71,0
25-10-2023,10:57:00,IN,van,1,22,0
25-10-2023,10:57:00,IN,bus,100%,66,0
25-10-2023,10:57:00,IN,car,2,10,0
25-10-2023,10:57:00,IN,car,1,61,0
25-10-2023,10:57:00,IN,car,4,65,0
25-10-2023,10:57:00,IN,car,3,66,0
25-10-2023,10:57:00,IN,car,1,22,0
25-10-2023,10:59:00,IN,car,2,13,0
25-10-2023,10:59:00,IN,car,2,12,0
25-10-2023,10:59:00,IN,car,3,14,0
25-10-2023,10:59:00,IN,car,1,65,0
25-10-2023,10:59:00,IN,car,1,17,0
