Date,Time,Direction,Type,Occupancy,Colour,Turn Signal
26-10-2023,10.30am,in,C,2,Gr,Y
26-10-2023,10.30am,in,C,1,B,Y
26-10-2023,10.30am,in,C,1,W,Y
26-10-2023,10.30am,in,C,1,W,Y
26-10-2023,10.30am,in,C,1,B,Y
26-10-2023,10.30am,in,C,1,Gr,Y
26-10-2023,10.30am,in,C,2,T,Y
26-10-2023,10.30am,in,C,1,W,Y
26-10-2023,10.30am,in,C,4,W,Y
26-10-2023,10.30am,in,V,2,B,Y
26-10-2023,10.30am,in,V,1,R,Y
26-10-2023,10.30am,in,C,1,B,Y
26-10-2023,10.30am,in,C,1,B,Y
26-10-2023,10.30am,in,C,2,W,Y
26-10-2023,10.30am,in,C,2,W,Y
26-10-2023,10.30am,in,C,1,W,Y
26-10-2023,10.30am,in,C,1,B,Y
26-10-2023,10.30am,in,C,1,W,Y
26-10-2023,10.35am,in,C,1,B,N
26-10-2023,10.35am,in,C,2,G,Y
26-10-2023,10.35am,in,C,1,W,Y
26-10-2023,10.35am,in,C,2,B,Y
26-10-2023,10.35am,in,C,2,Gr,Y
26-10-2023,10.35am,in,Bu,50%,B,Y
26-10-2023,10.35am,in,C,1,S,Y
26-10-2023,10.35am,in,C,1,S,Y
26-10-2023,10.35am,in,C,2,Gr,Y
26-10-2023,10.35am,in,C,1,W,Y
26-10-2023,10.35am,in,C,1,B,Y
26-10-2023,10.35am,in,C,1,Bl,Y
26-10-2023,10.35am,in,C,2,Gr,Y
26-10-2023,10.35am,in,V,1,Bl,Y
26-10-2023,10.35am,in,C,1,B,Y
26-10-2023,10.35am,in,C,1,R,Y
26-10-2023,10.35am,in,C,1,R,Y
26-10-2023,10.40am,in,C,5,Gr,Y
26-10-2023,10.40am,in,C,1,G,Y
26-10-2023,10.40am,in,Bu,50%,Bl,Y
26-10-2023,10.40am,in,C,4,S,Y
26-10-2023,10.40am,in,C,2,W,Y
26-10-2023,10.40am,in,C,1,Gr,Y
26-10-2023,10.40am,in,C,2,R,Y
26-10-2023,10.40am,in,C,3,B,Y
26-10-2023,10.40am,in,Bu,75%,Bl,Y
26-10-2023,10.40am,in,C,3,Bl,Y
26-10-2023,10.40am,in,C,2,W,Y
26-10-2023,10.40am,in,M,1,B,Y
26-10-2023,10.40am,in,C,5,W,Y
26-10-2023,10.40am,in,Bu,100%,Bl,Y
26-10-2023,10.40am,in,C,5,R,Y
26-10-2023,10.40am,in,C,2,G,Y
26-10-2023,10.40am,in,C,2,Bl,Y
26-10-2023,10.40am,in,C,1,R,Y
26-10-2023,10.40am,in,C,1,S,Y
26-10-2023,10.45am,in,C,1,B,Y
26-10-2023,10.45am,in,C,2,B,Y
26-10-2023,10.45am,in,C,3,W,Y
26-10-2023,10.45am,in,C,1,W,Y
26-10-2023,10.45am,in,C,1,B,Y
26-10-2023,10.45am,in,C,1,B,N
26-10-2023,10.45am,in,C,1,B,Y
26-10-2023,10.45am,in,C,1,P,Y
26-10-2023,10.45am,in,Bu,50%,Bl,Y
26-10-2023,10.45am,in,C,3,B,Y
26-10-2023,10.45am,in,C,2,G,Y
26-10-2023,10.45am,in,C,3,R,Y
26-10-2023,10.45am,in,C,3,G,Y
26-10-2023,10.45am,in,V,1,W,Y
26-10-2023,10.45am,in,C,1,B,Y
26-10-2023,10.45am,in,M,1,B,Y
26-10-2023,10.45am,in,Bu,75%,G,Y
26-10-2023,10.45am,in,V,1,W,Y
26-10-2023,10.45am,in,M,1,B,Y
26-10-2023,10.45am,in,C,1,P,Y
26-10-2023,10.45am,in,C,2,R,Y
26-10-2023,10.50am,in,C,1,B,Y
26-10-2023,10.50am,in,Bu,50%,Bl,Y
26-10-2023,10.50am,in,C,2,G,Y
26-10-2023,10.50am,in,C,1,R,Y
26-10-2023,10.50am,in,C,2,S,Y
26-10-2023,10.50am,in,C,1,W,Y
26-10-2023,10.50am,in,V,1,R,Y
26-10-2023,10.50am,in,C,1,Bl,Y
26-10-2023,10.50am,in,C,3,R,Y
26-10-2023,10.50am,in,C,1,B,Y
26-10-2023,10.50am,in,C,3,G,Y
26-10-2023,10.50am,in,C,1,Gr,Y
26-10-2023,10.50am,in,Bu,90%,Bl,Y
26-10-2023,10.50am,in,C,1,W,Y
26-10-2023,10.50am,in,C,1,Bl,Y
26-10-2023,10.50am,in,C,2,Bl,Y
26-10-2023,10.50am,in,C,3,S,Y
26-10-2023,10.50am,in,C,4,B,Y
26-10-2023,10.55am,in,C,2,B,Y
26-10-2023,10.55am,in,C,1,Bl,Y
26-10-2023,10.55am,in,C,2,Gr,Y
26-10-2023,10.55am,in,C,1,B,Y
26-10-2023,10.55am,in,C,2,R,N
26-10-2023,10.55am,in,C,2,G,Y
26-10-2023,10.55am,in,C,1,Bl,Y
26-10-2023,10.55am,in,C,1,B,Y
26-10-2023,10.55am,in,C,3,S,Y
26-10-2023,10.55am,in,C,5,W,N
26-10-2023,10.55am,in,C,1,Bl,Y
26-10-2023,10.55am,in,C,1,B,Y
26-10-2023,10.55am,in,C,1,B,Y
26-10-2023,10.55am,in,V,2,W,Y
26-10-2023,10.55am,in,C,1,S,Y
26-10-2023,10.55am,in,C,3,S,Y
26-10-2023,10.55am,in,V,2,W,Y
26-10-2023,10.55am,in,C,1,W,Y
26-10-2023,10.55am,in,C,1,W,Y
26-10-2023,10.55am,in,Bi,1,B,N
26-10-2023,10.55am,in,C,4,Gr,Y
26-10-2023,10.55am,in,C,1,B,Y
