Date,Time,Direction,Type,Occupancy,Make,Zero Emission
24-10-2023,10.05am,out,bus,0%,null,no
24-10-2023,10.05am,out,car,1,peugeot,no
24-10-2023,10.05am,out,car,1,audi,no
24-10-2023,10.05am,out,car,1,volkswagen,no
24-10-2023,10.10am,out,car,1,peugeot,no
24-10-2023,10.10am,out,car,2,ford,no
24-10-2023,10.10am,out,car,2,skoda,no
24-10-2023,10.10am,out,car,1,toyota,no
24-10-2023,10.10am,out,van,1,mercedes,no
24-10-2023,10.10am,out,car,1,mercedes,no
24-10-2023,10.10am,out,taxi,1,skoda,no
24-10-2023,10.10am,out,taxi,2,kia,no
24-10-2023,10.10am,out,bus,3%,null,no
24-10-2023,10.10am,out,car,1,range rover,no
24-10-2023,10.10am,out,taxi,1,hyundai,no
24-10-2023,10.10am,out,car,1,seat,no
24-10-2023,10.10am,out,car,1,ford,no
24-10-2023,10.10am,out,car,1,kia,no
24-10-2023,10.10am,out,bus,1%,null,no
24-10-2023,10.10am,out,bicycle,1,null,yes
24-10-2023,10.15am,out,car,1,peugeot,no
24-10-2023,10.15am,out,taxi,1,skoda,no
24-10-2023,10.15am,out,car,1,citroen,no
24-10-2023,10.15am,out,van,1,peugeot,no
24-10-2023,10.15am,out,car,2,vauxhall,no
24-10-2023,10.15am,out,car,1,hyundai,no
24-10-2023,10.15am,out,bus,0%,null,no
24-10-2023,10.15am,out,car,1,toyota,no
24-10-2023,10.15am,out,taxi,1,hyundai,no
24-10-2023,10.20am,out,car,1,bmw,no
24-10-2023,10.20am,out,car,2,hyundai,no
24-10-2023,10.20am,out,van,1,ford,no
24-10-2023,10.20am,out,car,1,peugeot,no
24-10-2023,10.20am,out,bus,50%,null,no
24-10-2023,10.20am,out,car,1,seat,no
24-10-2023,10.20am,out,car,1,volkswagen,no
24-10-2023,10.20am,out,car,1,vauxhall,no
24-10-2023,10.20am,out,car,1,mini,no
24-10-2023,10.20am,out,car,1,citroen,no
24-10-2023,10.20am,out,bus,0%,null,no
24-10-2023,10.20am,out,bus,0%,null,no
24-10-2023,10.25am,out,car,1,fiat,yes
24-10-2023,10.25am,out,car,1,kia,no
24-10-2023,10.25am,out,bicycle,1,null,yes
24-10-2023,10.25am,out,car,1,mg,no
24-10-2023,10.25am,out,taxi,1,skoda,no
24-10-2023,10.25am,out,bus,3%,null,no
24-10-2023,10.25am,out,car,1,mitsubishi,no
24-10-2023,10.25am,out,car,1,volkswagen,no
24-10-2023,10.25am,out,taxi,1,hyundai,no
24-10-2023,10.25am,out,car,2,mini,no
24-10-2023,10.25am,out,car,1,ford,no
24-10-2023,10.30am,out,car,2,volkswagen,no
24-10-2023,10.30am,out,car,3,volkswagen,no
24-10-2023,10.30am,out,car,1,vauxhall,no
24-10-2023,10.30am,out,bus,0%,null,no
24-10-2023,10.30am,out,car,1,ford,no
24-10-2023,10.30am,out,bus,5%,null,no
24-10-2023,10.30am,out,car,1,vauxhall,no
24-10-2023,10.30am,out,car,1,vauxhall,no
24-10-2023,10.30am,out,bicycle,1,null,yes
24-10-2023,10.30am,out,car,1,citroen,no
24-10-2023,10.30am,out,car,1,volkswagen,no
24-10-2023,10.30am,out,bus,1%,null,no
24-10-2023,10.30am,out,bus,0%,null,no
