,date,time,direction,vehicle_type,occupancy,safety,manufacturing_data,manufactured_after_2015
0,25/10/2023,09:30,in,car,1,1,55,0
1,25/10/2023,09:30,in,car,2,1,17,1
2,25/10/2023,09:30,in,car,1,1,71,1
3,25/10/2023,09:30,in,car,1,1,77,
4,25/10/2023,09:30,in,car,1,1,61,0
5,25/10/2023,09:30,in,car,2,1,21,1
6,25/10/2023,09:30,in,car,2,1,14,0
7,25/10/2023,09:30,in,car,2,1,17,1
8,25/10/2023,09:30,in,car,1,1,18,1
9,25/10/2023,09:30,in,car,1,1,18,1
10,25/10/2023,09:30,in,car,1,1,16,1
11,25/10/2023,09:30,in,car,1,1,66,1
12,25/10/2023,09:30,in,car,1,1,17,1
13,25/10/2023,09:30,in,car,1,1,69,1
14,25/10/2023,09:30,in,car,2,1,64,0
15,25/10/2023,09:30,in,car,1,1,14,0
16,25/10/2023,09:30,in,car,1,1,19,1
17,25/10/2023,09:30,in,car,1,1,56,0
18,25/10/2023,09:30,in,car,1,1,59,0
19,25/10/2023,09:30,in,car,1,1,20,1
20,25/10/2023,09:30,in,car,2,1,23,1
21,25/10/2023,09:30,in,car,2,1,11,0
22,25/10/2023,09:30,in,car,1,1,70,1
32,25/10/2023,09:35,in,car,1,1,66,1
33,25/10/2023,09:35,in,car,1,1,11,0
34,25/10/2023,09:35,in,car,2,1,64,0
35,25/10/2023,09:35,in,car,1,1,21,1
36,25/10/2023,09:35,in,car,1,1,60,0
37,25/10/2023,09:35,in,car,1,1,73,1
38,25/10/2023,09:35,in,car,1,1,69,1
39,25/10/2023,09:35,in,car,1,1,73,1
40,25/10/2023,09:35,in,car,1,1,68,1
41,25/10/2023,09:35,in,car,1,1,68,1
42,25/10/2023,09:35,in,car,1,1,65,0
43,25/10/2023,09:35,in,car,3,1,22,1
44,25/10/2023,09:35,in,car,1,1,64,0
45,25/10/2023,09:35,in,car,2,1,22,1
46,25/10/2023,09:35,in,car,1,1,13,0
47,25/10/2023,09:35,in,car,1,1,59,0
48,25/10/2023,09:35,in,car,2,1,20,1
49,25/10/2023,09:35,in,car,1,1,6,0
50,25/10/2023,09:35,in,car,1,1,13,0
51,25/10/2023,09:35,in,car,1,1,54,0
56,25/10/2023,09:40,in,car,1,1,65,0
57,25/10/2023,09:40,in,car,1,1,63,0
58,25/10/2023,09:40,in,car,2,1,18,1
59,25/10/2023,09:40,in,car,2,1,63,0
