Date,Time,Direction,Type,Occupancy,Is Electric
24-10-2023,9.30am,out,bus,5%,no
24-10-2023,9.30am,out,car,1,no
24-10-2023,9.30am,out,car,1,no
24-10-2023,9.30am,out,taxi,1,no
24-10-2023,9.30am,out,car,1,no
24-10-2023,9.35am,out,lorry,1,no
24-10-2023,9.35am,out,car,1,no
24-10-2023,9.35am,out,car,2,no
24-10-2023,9.35am,out,lorry,1,no
24-10-2023,9.35am,out,bus,1%,no
24-10-2023,9.35am,out,car,4,no
24-10-2023,9.35am,out,bus,1%,no
24-10-2023,9.35am,out,car,2,no
24-10-2023,9.35am,out,van,1,no
24-10-2023,9.35am,out,taxi,1,no
24-10-2023,9.40am,out,van,1,no
24-10-2023,9.40am,out,bus,2%,no
24-10-2023,9.40am,out,car,3,no
24-10-2023,9.40am,out,bus,0%,no
24-10-2023,9.40am,out,car,1,no
24-10-2023,9.40am,out,bus,1%,no
24-10-2023,9.40am,out,van,1,no
24-10-2023,9.40am,out,car,1%,no
24-10-2023,9.45am,out,car,1,no
24-10-2023,9.45am,out,scooter,1,no
24-10-2023,9.45am,out,car,1,no
24-10-2023,9.45am,out,car,1,no
24-10-2023,9.45am,out,taxi,1,yes
24-10-2023,9.45am,out,car,1,yes
24-10-2023,9.45am,out,van,1,no
24-10-2023,9.45am,out,car,1,no
24-10-2023,9.50am,out,car,2,no
24-10-2023,9.50am,out,bus,1%,no
24-10-2023,9.50am,out,car,1,no
24-10-2023,9.50am,out,bus,0%,no
24-10-2023,9.50am,out,bus,0%,no
24-10-2023,9.50am,out,car,1,no
24-10-2023,9.50am,out,car,1,no
24-10-2023,9.50am,out,car,1,no
24-10-2023,9.50am,out,car,3,no
24-10-2023,9.50am,out,car,4,no
24-10-2023,9.50am,out,car,2,no
24-10-2023,9.50am,out,bus,0%,no
24-10-2023,9.50am,out,bus,1%,no
24-10-2023,9.50am,out,car,1,no
24-10-2023,9.55am,out,car,2,no
24-10-2023,9.55am,out,car,1,no
24-10-2023,9.55am,out,car,1,no
24-10-2023,9.55am,out,car,1,no
24-10-2023,9.55am,out,car,1,no
24-10-2023,9.55am,out,car,1,no
24-10-2023,9.55am,out,lorry,1,no
24-10-2023,9.55am,out,car,3,yes
24-10-2023,10.00am,out,van,2,no
24-10-2023,10.00am,out,car,1,no
24-10-2023,10.00am,out,car,2,no
24-10-2023,10.00am,out,van,2,no
24-10-2023,10.00am,out,taxi,1,no
24-10-2023,10.00am,out,car,1,no
