Date,Time,Direction,Type,Occupancy,EcoFriendly,Date of vehicle
27/10/2023,8:30am,in,car,1,no,2013/2014
27/10/2023,8:30am,in,car,3,no,2019/2020
27/10/2023,8:30am,in,car,1,yes,2022/2023
27/10/2023,8:30am,in,car,1,no,2020/2021
27/10/2023,8:30am,in,car,2,no,2019/2020
27/10/2023,8:30am,in,car,1,yes,2023/2024
27/10/2023,8:30am,in,car,1,no,2009/2010
27/10/2023,8:30am,in,car,2,no,2009/2010
27/10/2023,8:30am,in,van,1,no,null
27/10/2023,8:30am,in,car,1,yes,2007/2008
27/10/2023,8:30am,in,car,2,no,2010/2011
27/10/2023,8:30am,in,car,1,no,2009/2010
27/10/2023,8:30am,in,car,2,yes,2011/2012
27/10/2023,8:30am,in,taxi,1,yes,2017/2018
27/10/2023,8:30am,in,bus,60%,yes,2016/2017
27/10/2023,8:30am,in,bus,90%,yes,2016/2017
27/10/2023,8:30am,in,van,2,no,2016/2017
27/10/2023,8:30am,in,car,1,yes,2013/2014
27/10/2023,8:30am,in,car,1,yes,2019/2020
27/10/2023,8:30am,in,van,2,no,2014/2015
27/10/2023,8:30am,in,car,1,yes,2020/2021
27/10/2023,8:30am,in,car,1,yes,2014/2015
27/10/2023,8:35am,in,car,4,no,2018/2019
27/10/2023,8:35am,in,taxi,2,no,2020/2021
27/10/2023,8:35am,in,car,1,yes,2020/2021
27/10/2023,8:35am,in,car,1,yes,2014/2015
27/10/2023,8:35am,in,car,4,no,2018/2019
27/10/2023,8:35am,in,taxi,2,no,2020/2021
27/10/2023,8:35am,in,car,2,yes,2015/2016
27/10/2023,8:35am,in,bicycle,1,yes,null
27/10/2023,8:35am,in,car,1,no,2013/2014
27/10/2023,8:35am,in,car,1,yes,2017/2018
27/10/2023,8:35am,in,car,2,yes,2010/2011
27/10/2023,8:35am,in,car,2,yes,2021/2022
27/10/2023,8:35am,in,car,1,no,2010/2011
27/10/2023,8:35am,in,car,1,no,2014/2015
27/10/2023,8:35am,in,car,2,yes,2020/2021
27/10/2023,8:35am,in,car,2,yes,2021/2022
27/10/2023,8:35am,in,car,2,yes,2017/2018
27/10/2023,8:35am,in,car,1,no,2012/2013
27/10/2023,8:35am,in,car,2,no,2013/2014
27/10/2023,8:35am,in,car,2,no,2017/2018
27/10/2023,8:35am,in,car,1,no,2016/2017
27/10/2023,8:40am,in,car,1,no,2015/2016
27/10/2023,8:40am,in,car,2,no,2014/2015
27/10/2023,8:40am,in,car,1,yes,2014/2015
27/10/2023,8:40am,in,car,2,no,2009/2010
27/10/2023,8:40am,in,car,2,yes,2019/2020
27/10/2023,8:40am,in,car,1,no,2018/2019
27/10/2023,8:40am,in,car,1,yes,2015/2016
27/10/2023,8:40am,in,bus,100%,yes,2016/2017
27/10/2023,8:40am,in,car,1,yes,2021/2022
27/10/2023,8:40am,in,car,2,no,2012/2013
27/10/2023,8:40am,in,car,2,no,2004/2005
27/10/2023,8:40am,in,car,2,yes,2017/2018
27/10/2023,8:40am,in,car,2,no,2009/2010
27/10/2023,8:40am,in,car,1,no,2017/2018
27/10/2023,8:40am,in,car,1,yes,2022/2023
27/10/2023,8:40am,in,taxi,3,yes,2022/2023
27/10/2023,8:40am,in,car,1,yes,2017/2018
27/10/2023,8:40am,in,car,1,yes,2022/2023
27/10/2023,8:40am,in,bus,100%,yes,2016/2017
27/10/2023,8:40am,in,car,2,yes,2009/2010
27/10/2023,8:40am,in,car,2,yes,2020/2021
27/10/2023,8:40am,in,car,2,no,2009/2010
27/10/2023,8:40am,in,car,2,no,2005/2006
27/10/2023,8:40am,in,bus,90%,no,2016/2017
27/10/2023,8:40am,in,car,1,yes,2013/2014
27/10/2023,8:40am,in,car,1,no,2009/2010
27/10/2023,8:40am,in,van,2,yes,2019/2020
27/10/2023,8:40am,in,car,2,yes,2022/2023
27/10/2023,8:40am,in,car,1,yes,2016/2017
27/10/2023,8:40am,in,car,1,no,2020/2021
27/10/2023,8:40am,in,car,1,yes,2017/2018
27/10/2023,8:40am,in,car,1,no,2010/2011
27/10/2023,8:40am,in,bus,100%,no,2009/2010
27/10/2023,8:40am,in,car,2,yes,2021/2022
27/10/2023,8:40am,in,car,1,no,2006/2007
27/10/2023,8:40am,in,car,1,no,2009/2010
27/10/2023,8:40am,in,car,1,no,2010/2011
27/10/2023,8:40am,in,car,1,yes,2018/2019
27/10/2023,8:40am,in,car,1,no,2016/2017
27/10/2023,8:40am,in,car,5,yes,2015/2016
27/10/2023,8:40am,in,car,2,yes,2015/2016
27/10/2023,8:45am,in,bus,60%,yes,2016/2017
27/10/2023,8:45am,in,car,1,no,2015/2016
27/10/2023,8:45am,in,car,1,no,2013/2014
27/10/2023,8:45am,in,car,2,yes,2014/2015
27/10/2023,8:45am,in,car,1,no,2019/2020
27/10/2023,8:45am,in,car,2,no,2004/2005
27/10/2023,8:45am,in,car,2,yes,2012/2013
27/10/2023,8:45am,in,car,1,no,2000/2001
27/10/2023,8:45am,in,car,2,no,2011/2012
27/10/2023,8:45am,in,car,1,no,2016/2017
27/10/2023,8:45am,in,car,2,yes,2022/2023
27/10/2023,8:45am,in,car,2,yes,2018/2019
27/10/2023,8:45am,in,car,2,no,2022/2023
27/10/2023,8:45am,in,van,2,no,2021/2022
27/10/2023,8:45am,in,van,2,no,2006/2007
27/10/2023,8:45am,in,car,2,no,2017/2018
27/10/2023,8:45am,in,car,2,no,2021/2022
27/10/2023,8:45am,in,bus,40%,no,2016/2017
27/10/2023,8:45am,in,car,1,no,2017/2018
27/10/2023,8:45am,in,car,1,no,2016/2017
27/10/2023,8:45am,in,car,1,no,2004/2005
27/10/2023,8:45am,in,car,1,no,2015/2016
27/10/2023,8:45am,in,car,1,no,2013/2014
27/10/2023,8:45am,in,car,2,yes,2003/2004
27/10/2023,8:45am,in,bus,5%,no,2016/2017
27/10/2023,8:45am,in,car,1,no,2012/2013
27/10/2023,8:45am,in,car,1,yes,2004/2005
27/10/2023,8:45am,in,car,1,no,2010/2011
27/10/2023,8:50am,in,car,2,yes,2022/2023
27/10/2023,8:50am,in,car,2,yes,2021/2022
27/10/2023,8:50am,in,car,2,no,2010/2011
27/10/2023,8:50am,in,car,2,no,2010/2011
27/10/2023,8:50am,in,car,1,no,2014/2015
27/10/2023,8:50am,in,car,1,no,2008/2009
27/10/2023,8:50am,in,car,1,no,2017/2018
27/10/2023,8:50am,in,car,1,no,2013/2014
27/10/2023,8:50am,in,bicycle,1,yes,null
27/10/2023,8:50am,in,bicycle,1,yes,null
27/10/2023,8:50am,in,bicycle,2,yes,null
27/10/2023,8:50am,in,car,2,yes,2017/2018
27/10/2023,8:50am,in,car,2,yes,2012/2013
27/10/2023,8:50am,in,bus,100%,yes,2016/2017
27/10/2023,8:50am,in,car,1,no,2015/2016
27/10/2023,8:50am,in,van,1,no,2020/2021
27/10/2023,8:50am,in,car,1,yes,2021/2022
27/10/2023,8:50am,in,car,1,no,2012/2013
27/10/2023,8:50am,in,car,1,yes,2019/2020
27/10/2023,8:50am,in,car,2,yes,2021/2022
27/10/2023,8:50am,in,car,1,yes,2010/2011
27/10/2023,8:50am,in,car,2,yes,2017/2018
27/10/2023,8:50am,in,lorry,1,no,2007/2008
27/10/2023,8:50am,in,car,1,no,2014/2015
27/10/2023,8:50am,in,car,1,yes,2010/2011
27/10/2023,8:50am,in,car,2,no,2012/2013
27/10/2023,8:50am,in,motor,2,no,2006/2007
27/10/2023,8:50am,in,car,2,no,2004/2005
27/10/2023,8:50am,in,car,1,no,2005/2006
27/10/2023,8:50am,in,car,1,yes,2022/2023
27/10/2023,8:50am,in,car,2,no,2014/2015
27/10/2023,8:50am,in,car,1,no,2012/2013
27/10/2023,8:50am,in,car,2,no,2016/2017
27/10/2023,8:50am,in,car,5,yes,2014/2015
27/10/2023,8:50am,in,car,2,no,2010/2011
27/10/2023,8:50am,in,car,2,no,2008/2009
27/10/2023,8:50am,in,car,4,no,2016/2017
27/10/2023,8:50am,in,car,2,no,2010/2011
27/10/2023,8:50am,in,car,1,no,2015/2016
27/10/2023,8:50am,in,car,1,no,2014/2015
27/10/2023,8:50am,in,car,1,no,2016/2017
27/10/2023,8:50am,in,car,1,no,2011/2012
