Date, Time, Direction, Type, Occupancy,Window_Tint,Rim_Type
26-10-2023,10.30am,out,bus,20%,low,stock
26-10-2023,10.30am,out,bicycle,1,low,stock
26-10-2023,10.31am,out,car,1,medium,upgraded
26-10-2023,10.31am,out,car,1,high,upgraded
26-10-2023,10.32am,out,van,1,low,stock
26-10-2023,10.33am,out,car,2,low,stock
26-10-2023,10.34am,out,bus,10%,low,stock
26-10-2023,10.35am,out,car,3,low,upgraded
26-10-2023,10.35am,out,motorbike,1,medium,upgraded
26-10-2023,10.35am,out,car,1,high,upgraded
26-10-2023,10.36am,out,car,2,high,upgraded
26-10-2023,10.36am,out,taxi,3,low,stock
26-10-2023,10.37am,out,car,1,low,upgraded
26-10-2023,10.38am,out,car,1,high,upgraded
26-10-2023,10.39am,out,car,1,high,upgraded
26-10-2023,10.40am,out,car,1,low,stock
26-10-2023,10.40am,out,bicycle,1,low,stock
26-10-2023,10.41am,out,car,4,low,stock
26-10-2023,10.41am,out,car,1,medium,stock
26-10-2023,10.42am,out,bus,3%,low,stock
26-10-2023,10.42am,out,car,2,medium,upgraded
26-10-2023,10.42am,out,car,1,high,stock
26-10-2023,10.43am,out,bus,10%,low,stock
26-10-2023,10.44am,out,car,1,medium,upgraded
26-10-2023,10.44am,out,car,1,low,upgraded
26-10-2023,10.45am,out,car,1,low,stock
26-10-2023,10.45am,out,van,1,low,stock
26-10-2023,10.47am,out,car,3,medium,upgraded
26-10-2023,10.47am,out,car,1,medium,upgraded
26-10-2023,10.48am,out,car,2,low,upgraded
26-10-2023,10.48am,out,car,4,high,upgraded
26-10-2023,10.49am,out,motorbike,1,low,stock
26-10-2023,10.49am,out,car,1,medium,upgraded
26-10-2023,10.50am,out,car,2,high,stock
26-10-2023,10.50am,out,car,3,medium,stock
26-10-2023,10.51am,out,car,1,high,stock
26-10-2023,10.52am,out,bus,20%,low,stock
26-10-2023,10.52am,out,car,1,medium,upgraded
26-10-2023,10.53am,out,car,2,high,stock
26-10-2023,10.55am,out,bus,30%,low,stock
26-10-2023,10.55am,out,car,2,medium,upgraded
26-10-2023,10.56am,out,car,1,medium,upgraded
26-10-2023,10.56am,out,car,3,high,stock
26-10-2023,10.57am,out,car,1,high,upgraded
26-10-2023,10.57am,out,motorbike,1,high,stock
26-10-2023,10.58am,out,car,1,medium,upgraded
26-10-2023,10.59am,out,car,2,medium,stock
26-10-2023,10.59am,out,bicycle,1,low,stock
26-10-2023,10.59am,out,car,4,medium,stock
26-10-2023,11.00am,out,bus,50%,low,stock
26-10-2023,11.00am,out,car,1,low,stock
