Date,Time,Direction,Type ,Occupancy,Driver gender,Fuel type
24-10-2023,10.15 am,out,bicycle,1,male,ZEV
24-10-2023,10.15 am,out,taxi,1,male,ICE
24-10-2023,10.15 am,out,car,1,male,ICE
24-10-2023,10.15 am,out,car,1,male,ICE
24-10-2023,10.15 am,out,van,1,male,ICE
24-10-2023,10.15 am,out,car,2,female,ICE
24-10-2023,10.15 am,out,taxi,1,male,ICE
24-10-2023,10.15 am,out,bus,15%,male,ICE
24-10-2023,10.20 am,out,taxi,1,male,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,car,2,male,ICE
24-10-2023,10.20 am,out,van,1,male,ICE
24-10-2023,10.20 am,out,taxi,1,female,ICE
24-10-2023,10.20 am,out,bus,10%,male,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,car,1,female,ICE
24-10-2023,10.20 am,out,car,1,male,ICE
24-10-2023,10.20 am,out,bus,2%,male,ICE
24-10-2023,10.25 am,out,bus,2%,male,ICE
24-10-2023,10.25 am,out,car,1,female,ZEV
24-10-2023,10.25 am,out,car,1,male,ICE
24-10-2023,10.25 am,out,bicycle,1,male,ZEV
24-10-2023,10.25 am,out,car,1,male,ICE
24-10-2023,10.25 am,out,car,1,male,ICE
24-10-2023,10.25 am,out,bus,20%,male,ICE
24-10-2023,10.30 am,out,car,1,male,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.30 am,out,car,2,male,ICE
24-10-2023,10.30 am,out,car,3,male,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.30 am,out,bus,2%,male,ICE
24-10-2023,10.30 am,out,car,1,male,ICE
24-10-2023,10.30 am,out,bus,1%,male,ICE
24-10-2023,10.30 am,out,car,1,female,ICE
24-10-2023,10.35 am,out,car,1,female,ICE
24-10-2023,10.35 am,out,bicycle,1,male,ZEV
24-10-2023,10.35 am,out,car,1,female,ICE
24-10-2023,10.35 am,out,bus,5%,male,ICE
24-10-2023,10.35 am,out,car,1,male,ICE
24-10-2023,10.35 am,out,bus,2%,male,ICE
24-10-2023,10.35 am,out,bus,2%,male,ICE
24-10-2023,10.35 am,out,car,1,female,ICE
24-10-2023,10.35 am,out,car,1,female,ICE
24-10-2023,10.35 am,out,car,2,female,ICE
24-10-2023,10.35 am,out,car,1,male,ICE
24-10-2023,10.40 am,out,car,1,male,ICE
24-10-2023,10.40 am,out,car,2,male,ICE
24-10-2023,10.40 am,out,car,1,male,ICE
24-10-2023,10.40 am,out,car,1,female,ICE
24-10-2023,10.40 am,out,van,1,male,ICE
24-10-2023,10.40 am,out,taxi,1,female,ICE
24-10-2023,10.40 am,out,bus,5%,male,ICE
24-10-2023,10.40 am,out,bus,5%,male,ICE
24-10-2023,10.40 am,out,car,1,male,ICE
24-10-2023,10.45 am,out,car,1,male,ICE
24-10-2023,10.45 am,out,car,2,male,ICE
