Date,Time,Direction,Type,Occupancy,Color,Public / Private
23-10-2023,10:30,in,car,20%,blue,private
23-10-2023,10:30,in,car,20%,blue,private
23-10-2023,10:30,in,car,20%,blue,private
23-10-2023,10:30,in,car,40%,blue,private
23-10-2023,10:30,in,bicycle,100%,black,private
23-10-2023,10:30,in,car,80%,white,private
23-10-2023,10:30,in,car,20%,white,public
23-10-2023,10:30,in,van,10%,white,private
23-10-2023,10:30,in,car,20%,white,private
23-10-2023,10:30,in,car,10%,blue,public
23-10-2023,10:30,in,car,10%,black,private
23-10-2023,10:30,in,bus,50%,white,public
23-10-2023,10:30,in,car,10%,white,public
23-10-2023,10:30,in,car,10%,red,private
23-10-2023,10:35,in,car,10%,other,private
23-10-2023,10:35,in,car,20%,white,public
23-10-2023,10:35,in,car,20%,white,public
23-10-2023,10:35,in,car,20%,black,private
23-10-2023,10:35,in,car,20%,black,private
23-10-2023,10:35,in,car,100%,blue,private
23-10-2023,10:35,in,car,20%,blue,public
23-10-2023,10:35,in,car,40%,white,public
23-10-2023,10:35,in,car,20%,black,private
23-10-2023,10:35,in,car,20%,red,private
23-10-2023,10:35,in,car,20%,black,public
23-10-2023,10:35,in,car,20%,white,private
23-10-2023,10:35,in,car,40%,white,private
23-10-2023,10:40,in,bus,100%,blue,public
23-10-2023,10:40,in,car,20%,black,public
23-10-2023,10:40,in,car,40%,grey,private
23-10-2023,10:40,in,car,50%,black,public
23-10-2023,10:40,in,bus,100%,white,public
23-10-2023,10:40,in,car,20%,white,public
23-10-2023,10:40,in,car,40%,black,private
23-10-2023,10:40,in,car,100%,other,public
23-10-2023,10:40,in,car,40%,black,public
23-10-2023,10:40,in,car,20%,white,private
23-10-2023,10:40,in,car,40%,red,public
23-10-2023,10:40,in,car,40%,blue,private
23-10-2023,10:40,in,lorry,50%,white,public
23-10-2023,10:40,in,car,20%,black,private
23-10-2023,10:40,in,car,20%,white,private
23-10-2023,10:40,in,car,50%,black,private
23-10-2023,10:40,in,car,20%,black,private
23-10-2023,10:45,in,car,70%,grey,public
23-10-2023,10:45,in,car,40%,grey,private
23-10-2023,10:45,in,car,20%,black,public
23-10-2023,10:45,in,car,20%,black,public
23-10-2023,10:45,in,bus,100%,blue,public
23-10-2023,10:45,in,car,80%,white,private
23-10-2023,10:45,in,car,80%,black,private
23-10-2023,10:45,in,car,40%,other,public
23-10-2023,10:45,in,car,100%,white,public
23-10-2023,10:45,in,car,50%,grey,private
23-10-2023,10:45,in,car,80%,black,private
23-10-2023,10:45,in,car,20%,white,public
23-10-2023,10:45,in,car,20%,black,private
23-10-2023,10:45,in,car,20%,white,private
23-10-2023,10:45,in,car,20%,black,private
23-10-2023,10:45,in,van,50%,black,private
23-10-2023,10:45,in,car,40%,black,private
23-10-2023,10:45,in,car,40%,black,public
23-10-2023,10:45,in,car,40%,white,public
23-10-2023,10:45,in,car,40%,black,private
23-10-2023,10:45,in,car,20%,black,private
23-10-2023,10:50,in,bicycle,100%,black,public
23-10-2023,10:50,in,car,40%,grey,public
23-10-2023,10:50,in,bus,100%,green,public
23-10-2023,10:50,in,car,100%,black,public
23-10-2023,10:50,in,car,40%,grey,private
23-10-2023,10:50,in,car,100%,blue,private
23-10-2023,10:50,in,car,40%,red,private
23-10-2023,10:50,in,car,50%,red,public
23-10-2023,10:50,in,car,20%,black,private
23-10-2023,10:50,in,car,20%,red,private
23-10-2023,10:50,in,car,20%,red,private
23-10-2023,10:50,in,car,20%,blue,private
23-10-2023,10:50,in,car,40%,red,public
23-10-2023,10:50,in,car,20%,black,private
23-10-2023,10:50,in,car,100%,black,private
23-10-2023,10:55,in,car,20%,black,private
23-10-2023,10:55,in,car,40%,black,private
23-10-2023,10:55,in,car,20%,blue,public
23-10-2023,10:55,in,car,20%,black,public
23-10-2023,10:55,in,car,40%,blue,private
23-10-2023,10:55,in,car,100%,blue,private
23-10-2023,10:55,in,car,100%,white,private
23-10-2023,10:55,in,car,50%,blue,public
23-10-2023,10:55,in,car,20%,white,private
23-10-2023,10:55,in,car,20%,white,private
23-10-2023,10:55,in,car,20%,white,public
23-10-2023,10:55,in,bus,100%,blue,public
23-10-2023,10:55,in,car,20%,white,private
23-10-2023,10:55,in,car,90%,blue,private
23-10-2023,10:55,in,car,100%,blue,public
23-10-2023,10:55,in,car,20%,black,private
23-10-2023,10:55,in,car,40%,black,private
23-10-2023,10:55,in,car,100%,black,private
23-10-2023,10:55,in,car,100%,white,private
23-10-2023,10:55,in,car,20%,blue,private
23-10-2023,10:55,in,bicycle,100%,black,private
23-10-2023,10:55,in,bicycle,100%,black,private
23-10-2023,10:55,in,bus,80%,blue,public
23-10-2023,10:55,in,car,40%,white,private
23-10-2023,10:55,in,car,40%,grey,private
23-10-2023,10:55,in,car,100%,white,private
23-10-2023,10:55,in,lorry,100%,red,public
23-10-2023,10:55,in,car,20%,white,public
23-10-2023,10:55,in,car,20%,black,public
23-10-2023,10:55,in,car,20%,black,private
23-10-2023,10:55,in,car,60%,white,public
23-10-2023,10:55,in,car,40%,black,private
23-10-2023,10:55,in,car,20%,black,private
