Date ,Time,Direction,Type,Occupancy,Colour,Purpose
24-10-2023,10.15am,out,car,1,black,private
24-10-2023,10.15am,out,car,1,white,private
24-10-2023,10.15am,out,car,1,white,private
24-10-2023,10.15am,out,bus,10%,black,public
24-10-2023,10.15am,out,car,1,white,private
24-10-2023,10.15am,out,car,2,white,private
24-10-2023,10.15am,out,car,1,red,private
24-10-2023,10.15am,out,van,1,blue,cargo
24-10-2023,10.15am,out,car,2,red,private
24-10-2023,10.15am,out,taxi,1,blue,public
24-10-2023,10.20am,out,bus,10%,green,public
24-10-2023,10.20am,out,taxi,1,white,public
24-10-2023,10.20am,out,car,1,black,private
24-10-2023,10.20am,out,car,2,black,private
24-10-2023,10.20am,out,car,1,black,private
24-10-2023,10.20am,out,bus,25%,blue,public
24-10-2023,10.20am,out,car,1,red,private
24-10-2023,10.20am,out,car,1,black,private
24-10-2023,10.20am,out,car,1,black,private
24-10-2023,10.20am,out,van,2,white,cargo
24-10-2023,10.20am,out,car,1,green,private
24-10-2023,10.20am,out,car,1,white,private
24-10-2023,10.20am,out,bus,10%,green,public
24-10-2023,10.25am,out,bus,10%,blue,public
24-10-2023,10.25am,out,car,1,black,private
24-10-2023,10.25am,out,car,1,white,private
24-10-2023,10.25am,out,bicycle,1,black,private
24-10-2023,10.25am,out,car,1,white,private
24-10-2023,10.25am,out,car,1,white,private
24-10-2023,10.25am,out,bus,10%,blue,public
24-10-2023,10.25am,out,car,1,black,private
24-10-2023,10.25am,out,car,1,red,private
24-10-2023,10.25am,out,car,2,white,private
24-10-2023,10.25am,out,car,1,blue,private
24-10-2023,10.25am,out,car,1,white,private
24-10-2023,10.25am,out,car,1,red,private
24-10-2023,10.30am,out,car,2,black,private
24-10-2023,10.30am,out,car,3,white,private
24-10-2023,10.30am,out,car,1,white,private
24-10-2023,10.30am,out,bus,10%,blue,public
24-10-2023,10.30am,out,car,1,black,private
24-10-2023,10.30am,out,bus,10%,white,public
24-10-2023,10.30am,out,car,1,white,private
24-10-2023,10.30am,out,car,1,black,private
24-10-2023,10.30am,out,bicycle,1,white,private
24-10-2023,10.30am,out,car,4,white,private
24-10-2023,10.30am,out,car,1,black,private
24-10-2023,10.30am,out,bus,10%,blue,public
24-10-2023,10.30am,out,bus,10%,green,public
24-10-2023,10.30am,out,car,1,red,private
24-10-2023,10.30am,out,car,1,black,private
24-10-2023,10.35am,out,taxi,1,black,public
24-10-2023,10.35am,out,car,1,black,private
24-10-2023,10.35am,out,car,1,blue,private
24-10-2023,10.35am,out,car,2,black,private
24-10-2023,10.35am,out,car,1,black,private
24-10-2023,10.35am,out,car,1,white,private
24-10-2023,10.35am,out,car,1,blue,private
24-10-2023,10.35am,out,van,1,black,cargo
24-10-2023,10.35am,out,taxi,1,black,public
24-10-2023,10.40am,out,bus,10%,blue,public
24-10-2023,10.40am,out,car,2,black,private
24-10-2023,10.40am,out,bus,10%,blue,public
24-10-2023,10.40am,out,car,1,black,private
24-10-2023,10.40am,out,car,1,red,private
24-10-2023,10.40am,out,car,1,white,private
24-10-2023,10.40am,out,car,1,red,private
24-10-2023,10.45am,out,car,1,white,private
24-10-2023,10.45am,out,car,1,black,private
24-10-2023,10.45am,out,car,2,black,private
24-10-2023,10.45am,out,taxi,1,black,public
24-10-2023,10.45am,out,car,1,black,private
24-10-2023,10.45am,out,taxi,1,blue,public
24-10-2023,10.45am,out,van,2,black,cargo
24-10-2023,10.45am,out,taxi,1,white,public
24-10-2023,10.45am,out,bus,50%,green,public
24-10-2023,10.15am,in,car,1,blue,private
24-10-2023,10.15am,in,car,3,black,private
24-10-2023,10.15am,in,car,2,blue,private
24-10-2023,10.15am,in,bus,75%,green,public
24-10-2023,10.15am,in,bus,75%,green,public
24-10-2023,10.15am,in,car,2,red,private
24-10-2023,10.15am,in,car,1,red,private
24-10-2023,10.15am,in,car,2,blue,private
24-10-2023,10.15am,in,car,3,black,private
24-10-2023,10.15am,in,motorbike,1,black,private
24-10-2023,10.15am,in,motorbike,1,black,private
24-10-2023,10.15am,in,car,2,black,private
24-10-2023,10.15am,in,car,2,black,private
24-10-2023,10.20am,in,bus,100%,blue,public
24-10-2023,10.20am,in,car,1,black,private
24-10-2023,10.20am,in,van,1,black,cargo
24-10-2023,10.20am,in,bus,75%,blue,public
24-10-2023,10.20am,in,van,1,white,cargo
24-10-2023,10.20am,in,car,1,black,private
24-10-2023,10.20am,in,bus,100%,blue,public
24-10-2023,10.20am,in,bus,100%,green,public
24-10-2023,10.20am,in,car,1,black,private
24-10-2023,10.20am,in,bus,100%,blue,public
24-10-2023,10.20am,in,car,2,black,private
24-10-2023,10.20am,in,car,2,green,private
24-10-2023,10.20am,in,car,2,white,private
24-10-2023,10.20am,in,car,2,white,private
24-10-2023,10.20am,in,car,2,white,private
24-10-2023,10.20am,in,car,1,black,private
24-10-2023,10.20am,in,car,2,black,private
24-10-2023,10.20am,in,car,2,blue,private
24-10-2023,10.20am,in,car,1,white,private
24-10-2023,10.20am,in,car,1,red,private
