Date,Time,Direction,Type,Occupancy,Colour,AgeIdentifier
23-10-23,10.30am,in,car,1,silver,60
23-10-23,10.30am,in,bicycle,1,black,n/a
23-10-23,10.30am,in,car,1,silver,10
23-10-23,10.30am,in,car,2,silver,12
23-10-23,10.30am,in,van,1,white,72
23-10-23,10.30am,in,car,1,white,64
23-10-23,10.30am,in,car,1,blue,15
23-10-23,10.30am,in,car,1,black,custom
23-10-23,10.30am,in,bus,30%,white,17
23-10-23,10.30am,in,car,1,silver,13
23-10-23,10.30am,in,car,1,red,62
23-10-23,10.30am,in,car,1,yellow,66
23-10-23,10.30am,in,car,2,white,68
23-10-23,10.35am,in,car,1,silver,07
23-10-23,10.35am,in,car,1,black,65
23-10-23,10.35am,in,car,1,black,13
23-10-23,10.35am,in,car,1,blue,55
23-10-23,10.35am,in,car,1,grey,71
23-10-23,10.35am,in,car,1,blue,17
23-10-23,10.35am,in,car,2,white,65
23-10-23,10.35am,in,car,1,black,17
23-10-23,10.35am,in,car,1,silver,custom
23-10-23,10.35am,in,car,1,red,11
23-10-23,10.35am,in,car,1,silver,17
23-10-23,10.35am,in,car,2,silver,17
23-10-23,10.35am,in,van,1,black,70
23-10-23,10.35am,in,car,1,silver,custom
23-10-23,10.35am,in,bus,100%,blue,59
23-10-23,10.35am,in,car,3,black,15
23-10-23,10.35am,in,car,2,black,66
23-10-23,10.35am,in,bus,80%,black,66
23-10-23,10.35am,in,car,2,silver,67
23-10-23,10.35am,in,car,1,blue,62
23-10-23,10.35am,in,car,1,red,18
23-10-23,10.35am,in,car,1,orange,08
23-10-23,10.35am,in,car,1,black,17
23-10-23,10.35am,in,lorry,1,white,05
23-10-23,10.35am,in,car,1,silver,72
23-10-23,10.35am,in,car,1,black,68
23-10-23,10.35am,in,car,1,red,14
23-10-23,10.35am,in,car,1,silver,06
23-10-23,10.35am,in,car,1,silver,23
23-10-23,10.35am,in,car,1,white,09
23-10-23,10.40am,in,bus,100%,blue,66
23-10-23,10.40am,in,car,1,silver,72
23-10-23,10.40am,in,van,1,black,16
23-10-23,10.40am,in,taxi,2,black,70
23-10-23,10.40am,in,car,2,red,71
23-10-23,10.40am,in,car,1,white,13
23-10-23,10.40am,in,car,1,black,12
23-10-23,10.40am,in,taxi,2,black,65
23-10-23,10.40am,in,car,2,blue,17
23-10-23,10.40am,in,car,2,silver,16
23-10-23,10.40am,in,car,2,silver,65
23-10-23,10.40am,in,car,2,black,04
23-10-23,10.40am,in,lorry,1,white,19
23-10-23,10.40am,in,car,1,black,65
23-10-23,10.40am,in,car,2,white,62
23-10-23,10.40am,in,car,1,black,60
23-10-23,10.40am,in,car,2,silver,70
23-10-23,10.40am,in,van,4,black,17
23-10-23,10.40am,in,car,1,silver,63
23-10-23,10.40am,in,car,1,black,70
23-10-23,10.40am,in,car,1,black,custom
23-10-23,10.40am,in,bus,80%,blue,66
23-10-23,10.45am,in,car,2,white,custom
23-10-23,10.45am,in,car,2,pink,20
23-10-23,10.45am,in,car,1,white,71
23-10-23,10.45am,in,car,2,black,12
